"['[2, 21, 6, 0]']",[1.58044314]
"['[2, 22, 1, 0]']",[0.68175964]
"['[2, 22, 2, 0]']",[1.83269906]
"['[2, 22, 3, 0]']",[2.15054501]
"['[2, 22, 4, 0]']",[1.93686088]
"['[2, 22, 5, 0]']",[2.07878881]
"['[2, 22, 6, 0]']",[1.90472241]
"['[2, 23, 1, 0]']",[1.06205324]
"['[2, 23, 2, 0]']",[1.95592559]
"['[2, 23, 3, 0]']",[1.55612793]
"['[2, 23, 4, 0]']",[1.80294121]
"['[2, 23, 5, 0]']",[2.23388092]
"['[2, 23, 6, 0]']",[2.26432626]
"['[2, 26, 3, 0]']",[1.32994131]
"['[2, 26, 4, 0]']",[1.98739664]
"['[2, 26, 5, 0]']",[2.26829086]
"['[2, 26, 6, 0]']",[1.92666602]
"['[2, 27, 1, 0]']",[1.42317441]
"['[2, 27, 2, 0]']",[1.16338033]
"['[3, 4, 1, 0]']",[1.03020005]
"['[3, 4, 2, 0]']",[1.43132576]
"['[3, 4, 5, 0]']",[1.3339054]
"['[3, 4, 6, 0]']",[2.00707295]
"['[3, 5, 1, 0]']",[1.17796845]
"['[3, 5, 2, 0]']",[1.83216051]
"['[3, 5, 3, 0]']",[1.48117031]
"['[3, 5, 4, 0]']",[1.89415005]
"['[3, 5, 5, 0]']",[1.49489438]
"['[3, 5, 6, 0]']",[1.7525301]
"['[3, 6, 1, 0]']",[1.57752258]
"['[3, 6, 2, 0]']",[1.772929]
"['[3, 6, 3, 0]']",[1.62783875]
"['[3, 6, 4, 0]']",[1.97612504]
"['[3, 6, 5, 0]']",[1.59525568]
"['[3, 6, 6, 0]']",[1.35760288]
"['[3, 7, 1, 0]']",[1.84412014]
"['[3, 7, 5, 0]']",[1.58650034]
"['[3, 7, 6, 0]']",[1.91251969]
"['[3, 10, 1, 0]']",[0.72295573]
"['[3, 10, 5, 0]']",[1.18106884]
"['[3, 10, 6, 0]']",[1.34872448]
"['[3, 11, 1, 0]']",[1.44871113]
"['[3, 11, 2, 0]']",[1.30103091]
"['[3, 11, 3, 0]']",[1.71134038]
"['[3, 11, 4, 0]']",[2.16413454]
"['[3, 11, 5, 0]']",[1.79109394]
"['[3, 11, 6, 0]']",[1.22565518]
"['[3, 12, 1, 0]']",[1.4060408]
"['[3, 12, 2, 0]']",[1.50466907]
"['[3, 12, 4, 0]']",[1.72020424]
